"","adress","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung","lat_wgs84","lon_wgs84"
"1","Alpenrod 57642 Germany","E31102010000000000002000219900001","ENERCON GmbH","E-40/6.44 E3",600,"20.06.2002",7143202,50.6223,7.8513,65,44,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 46/47 )","600","2002-06-20",628332,7143,"Westerwald",714302,"Hachenburg",2350,628,7990,1272,2874.1248,50.6222817895502,7.85128587667523
"2","Alpenrod 57642 Germany","E31102010000000000001008269700001","ENERCON GmbH","E-40/5.40",500,"07.08.1998",7143202,50.6237,7.8508,65,40.3,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 46/47 )","500","1998-08-07",535740,7143,"Westerwald",714302,"Hachenburg",2350,536,7990,1491,2910.0416,50.6235617938458,7.85080689982083
"3","Alpenrod 57642 Germany","E31102010000000000001008269700002","ENERCON GmbH","E-40/5.40",500,"13.08.1998",7143202,50.6196,7.8544,65,40.3,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 48 )","500","1998-08-13",535740,7143,"Westerwald",714302,"Hachenburg",2350,536,7990,1491,2910.0416,50.6197996251404,7.85450354188569
"4","Alpenrod 57642 Germany","E31102010000000000001008269700003","ENERCON GmbH","E-40/6.44 E1",600,"22.09.2000",7143202,50.6208,7.8527,65,44,714302202,57642,"Alpenrod","Außenbereich / Flurstück( 48 )","600","2000-09-22",630752,7143,"Westerwald",714302,"Hachenburg",2350,631,7990,1266,2872.9536,50.6207413804423,7.8525463449589
"5","Altweidelbach 55469 Germany","E31238010000000000000041391801423","Fuhrländer AG","MD 1000",1000,"21.03.2002",7140058,50.050278,7.547222,70,54,714008002,55469,"Altweidelbach","K52 (Windpark) 900Z","1000","2002-03-21",1094272,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,1094,8330,761,2824.9344,50.0501107621968,7.54704884881147
"6","Altweidelbach 55469 Germany","E31238010000000000000041391801422","Fuhrländer AG","MD70",1500,"28.03.2002",7140058,50.052528,7.547417,85,77,714008002,55469,"Altweidelbach","K52 (Windpark) 900Z","1500","2002-03-28",1641405,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,1641,8330,508,2611.3856,50.0523776089669,7.54746929841806
"7","Altweidelbach 55469 Germany","E31238010000000000000041391810142","Fuhrländer AG","MD70",1500,"11.04.2002",7140058,50.0515,7.549444,85,77,714008002,55469,"Altweidelbach","K52 (Windpark) 900Z","1500","2002-04-11",1641405,7140,"Rhein-Hundsrück",714008,"Simmern-Rheinböllen",2450,1641,8330,508,2611.3856,50.0515301706874,7.54935046343334
"8","Alzey-Heimersheim 55232 Germany","E32954010200000000003617500011215","ENERCON GmbH","E66/18.70-2",1800,"19.09.2001",7331003,49.757306,8.064478,65,70,733100003,55232,"Alzey-Heimersheim","Flur 3 u. Flur 8","5400","2001-09-14",6610082,7331,"Alzey-Worms",733100,"Alzey",2150,6610,7310,111,273.28,49.7574446308254,8.06448248257243
"9","Alzey-Heimersheim 55232 Germany","E32954010200000000003617500011223","ENERCON GmbH","E-48",800,"12.01.2006",7331003,49.761338,8.059445,76,48,733100003,55232,"Alzey-Heimersheim","Flur 8","800","2005-12-20",1132362,7331,"Alzey-Worms",733100,"Alzey",2150,1132,7310,646,2411.8912,49.7612612826232,8.05950929337235
"10","Arzfeld 54687 Germany","E31238010000000000000052080320629","ENERCON GmbH","E-66/18.70",1800,"29.07.2004",7232201,50.083609,6.290965,114,70,723201201,54687,"Arzfeld","Dreis 901Z / 26","1800","2004-07-29",2723350,7232,"Eifelkreis Bitburg-Prüm",723201,"Arzfeld",1875,2723,6375,234,1425.7408,50.0837586839769,6.29108466476273
