"","X","eeg_nr","hersteller","typ","leistung_m","indatum_m","gem_m","b_wgs84","l_wgs84","nabe","rotor","gem_s","plz","ort","strasse","leistung_s","indatum_s","menge_kwh","lk_nr","lk_name","vg_nr","vg_name","lk_volllast","Ertrag2019_MWh","ErtragRepowert","Ertragssteigerung","Emissionsminderung"
"1",1,"E00035056472000000000000012744409","Fuhrländer AG","FL 250",250,"29.05.1996",7143291,50,8,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"E301610166955AAAD1001086600000000","GE Renewable Germany GmbH","77 1,5",1500,"03.11.2003",7340053,49.152752,7.572352,85,77,731700000,66955,"Pirmasens","Littersbachstr. 0","1500",2003-11-03,2932902,"7317","Pirmasens","731700","Pirmasens",2300,2933,7820,267,1907.8848
"3",3,"E301610166957AAAD1005072700000000","Vestas Deutschland GmbH","V150-4.2 MW",4200,"21.08.2020",7340026,49.166144,7.517801,145,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"E301610166957AAAD1005073500000000","Vestas Deutschland GmbH","V150-4.2 MW",4200,"12.08.2020",7340026,49.162454,7.517678,166,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"E30254010000000000000523078730168","DeWind GmbH","D-62",1000,"02.11.1999",7335031,49.382645,7.601927,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"E30254010000000000005230787201686","DeWind GmbH","D6 1000 kW",1000,"22.08.2000",7333054,49.729723,7.744057,68.5,62,733307078,67823,"Unkenbach","Gemarkung Obermoschel, Flurst. 860/10, Buchenhecke","1000",2000-08-22,1515606,"7333","Donnersbergkreis","733307","Nordpfälzer Land",2475,1516,8415,555,2693.3696
"7",7,"E30254010000000000005230787301688",NA,NA,NA,NA,NA,NA,NA,NA,NA,733511031,66851,"Oberarnbach","Gemarkung Oberarnbach, Flurst. 1800","1000",1999-10-27,1690809,"7335","Kaiserslautern","733511","Landstuhl",2375,1691,8075,478,2492.3136
"8",8,"E30254010000000000005230787301689",NA,NA,NA,NA,NA,NA,NA,NA,NA,733511031,66851,"Oberarnbach","Gemarkung Oberarnbach, Flurst. 1590","1000",2001-12-31,1690811,"7335","Kaiserslautern","733511","Landstuhl",2375,1691,8075,478,2492.3136
"9",9,"E30254010000000000005230787306704",NA,NA,NA,NA,NA,NA,NA,NA,NA,733511031,66851,"Oberarnbach","Gemarkung Oberarnbach, Flurst. 1676","1000",2000-05-29,1690811,"7335","Kaiserslautern","733511","Landstuhl",2375,1691,8075,478,2492.3136
"10",10,"E30254010000000000005230787601693","Vestas Deutschland GmbH","V66",1650,"25.07.2001",7340053,49.155613,7.575723,67,66,734003053,66957,"Vinningen","Gemarkung Vinningen, Flurst. 3125, L478","1650",2001-07-25,1286879,"7340","Südwestpfalz","734003","Pirmasens Land",2475,1287,8415,654,2782.7712
"11",11,"E30254010000000000005230787606677","Vestas Deutschland GmbH","V66",1650,"06.12.2000",7340053,49.149563,7.574961,67,66,734003053,66957,"Vinningen","Gemarkung Vinningen, Flurst. 2417, L478","1650",2000-12-06,1286882,"7340","Südwestpfalz","734003","Pirmasens Land",2475,1287,8415,654,2782.7712
"12",12,"E30254010000000000005230787721589","ENERCON GmbH","E-40/5.40",500,"22.11.2000",7335029,49.55759,7.721143,63,40,733510029,67700,"Niederkirchen","Gemarkung Niederkrichen, Flurst. 317/3, Holbornerh","500",2000-11-23,898278,"7335","Kaiserslautern","733510","Otterbach-Otterberg",2375,898,8075,899,2801.9008
"13",13,"E30254010000000000005230788001702",NA,NA,NA,NA,NA,NA,NA,NA,NA,733207044,67311,"Tiefenthal","Gemarkung Tiefenthal, Flurst. 960, Bubenbrunnen","1800",2001-09-21,3254568,"7332","Bad Dürkheim","733207","Leiningerland",2075,3255,7055,217,1483.52
